NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Sandy Hook 
State: NJ 
Stationid: 8531680
Prediction Type: Harmonic
From: 20180101 00:27 - 20181231 21:49
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/02/15	Thu	07:26 AM	5.04		154			H
2018/02/15	Thu	01:52 PM	-0.27		-8			L
2018/02/15	Thu	07:48 PM	4.44		135			H
2018/02/16	Fri	02:00 AM	-0.10		-3			L
2018/02/16	Fri	08:02 AM	5.07		155			H
2018/02/16	Fri	02:29 PM	-0.34		-10			L
2018/02/16	Fri	08:23 PM	4.51		137			H
2018/02/17	Sat	02:40 AM	-0.13		-4			L
2018/02/17	Sat	08:37 AM	5.02		153			H
2018/02/17	Sat	03:05 PM	-0.36		-11			L
2018/02/17	Sat	08:57 PM	4.56		139			H
2018/02/18	Sun	03:17 AM	-0.10		-3			L
2018/02/18	Sun	09:13 AM	4.92		150			H
2018/02/18	Sun	03:39 PM	-0.32		-10			L
2018/02/18	Sun	09:33 PM	4.61		141			H
2018/02/19	Mon	03:55 AM	-0.03		-1			L
2018/02/19	Mon	09:53 AM	4.78		146			H
2018/02/19	Mon	04:13 PM	-0.25		-8			L
2018/02/19	Mon	10:14 PM	4.66		142			H
2018/02/20	Tue	04:35 AM	0.10		3			L
2018/02/20	Tue	10:37 AM	4.62		141			H
2018/02/20	Tue	04:49 PM	-0.13		-4			L
2018/02/20	Tue	11:00 PM	4.71		144			H
2018/02/21	Wed	05:21 AM	0.26		8			L
2018/02/21	Wed	11:29 AM	4.44		135			H
2018/02/21	Wed	05:32 PM	0.03		1			L
2018/02/21	Wed	11:52 PM	4.75		145			H
2018/02/22	Thu	06:21 AM	0.42		13			L
2018/02/22	Thu	12:25 PM	4.29		131			H
2018/02/22	Thu	06:28 PM	0.19		6			L
2018/02/23	Fri	12:49 AM	4.80		146			H
2018/02/23	Fri	07:38 AM	0.49		15			L
2018/02/23	Fri	01:26 PM	4.18		127			H
2018/02/23	Fri	07:42 PM	0.27		8			L
2018/02/24	Sat	01:52 AM	4.86		148			H
2018/02/24	Sat	08:53 AM	0.36		11			L
2018/02/24	Sat	02:32 PM	4.16		127			H
2018/02/24	Sat	08:57 PM	0.17		5			L
2018/02/25	Sun	02:59 AM	4.97		151			H
2018/02/25	Sun	09:59 AM	0.08		2			L
2018/02/25	Sun	03:42 PM	4.29		131			H
2018/02/25	Sun	10:03 PM	-0.06		-2			L
2018/02/26	Mon	04:09 AM	5.18		158			H
2018/02/26	Mon	10:58 AM	-0.25		-8			L
2018/02/26	Mon	04:49 PM	4.57		139			H
2018/02/26	Mon	11:03 PM	-0.35		-11			L
2018/02/27	Tue	05:13 AM	5.45		166			H
2018/02/27	Tue	11:53 AM	-0.56		-17			L
2018/02/27	Tue	05:49 PM	4.93		150			H
2018/02/28	Wed	12:00 AM	-0.63		-19			L
2018/02/28	Wed	06:10 AM	5.71		174			H
2018/02/28	Wed	12:45 PM	-0.82		-25			L
2018/02/28	Wed	06:42 PM	5.26		160			H
2018/03/01	Thu	12:54 AM	-0.83		-25			L
2018/03/01	Thu	07:02 AM	5.86		179			H
2018/03/01	Thu	01:34 PM	-0.99		-30			L
2018/03/01	Thu	07:32 PM	5.48		167			H
2018/03/02	Fri	01:46 AM	-0.94		-29			L
2018/03/02	Fri	07:50 AM	5.86		179			H
2018/03/02	Fri	02:21 PM	-1.03		-31			L
2018/03/02	Fri	08:20 PM	5.57		170			H
2018/03/03	Sat	02:35 AM	-0.91		-28			L
2018/03/03	Sat	08:37 AM	5.70		174			H
2018/03/03	Sat	03:05 PM	-0.94		-29			L
2018/03/03	Sat	09:07 PM	5.53		169			H
2018/03/04	Sun	03:22 AM	-0.75		-23			L
2018/03/04	Sun	09:24 AM	5.42		165			H
2018/03/04	Sun	03:47 PM	-0.71		-22			L
2018/03/04	Sun	09:55 PM	5.37		164			H
2018/03/05	Mon	04:07 AM	-0.47		-14			L
2018/03/05	Mon	10:12 AM	5.06		154			H
2018/03/05	Mon	04:27 PM	-0.37		-11			L
2018/03/05	Mon	10:43 PM	5.15		157			H
2018/03/06	Tue	04:52 AM	-0.11		-3			L
2018/03/06	Tue	11:01 AM	4.68		143			H
2018/03/06	Tue	05:08 PM	0.03		1			L
2018/03/06	Tue	11:31 PM	4.91		150			H
2018/03/07	Wed	05:39 AM	0.27		8			L
2018/03/07	Wed	11:50 AM	4.33		132			H
2018/03/07	Wed	05:51 PM	0.43		13			L
2018/03/08	Thu	12:18 AM	4.67		142			H
2018/03/08	Thu	06:33 AM	0.60		18			L
2018/03/08	Thu	12:40 PM	4.03		123			H
2018/03/08	Thu	06:43 PM	0.78		24			L
2018/03/09	Fri	01:07 AM	4.46		136			H
2018/03/09	Fri	07:35 AM	0.82		25			L
2018/03/09	Fri	01:32 PM	3.81		116			H
2018/03/09	Fri	07:45 PM	1.00		30			L
2018/03/10	Sat	01:58 AM	4.31		131			H
2018/03/10	Sat	08:38 AM	0.88		27			L
2018/03/10	Sat	02:27 PM	3.69		112			H
2018/03/10	Sat	08:49 PM	1.04		32			L
2018/03/11	Sun	03:53 AM	4.25		130			H
2018/03/11	Sun	10:36 AM	0.79		24			L
2018/03/11	Sun	04:26 PM	3.71		113			H
2018/03/11	Sun	10:46 PM	0.92		28			L
2018/03/12	Mon	04:51 AM	4.32		132			H
2018/03/12	Mon	11:26 AM	0.62		19			L
2018/03/12	Mon	05:24 PM	3.86		118			H
2018/03/12	Mon	11:37 PM	0.72		22			L
2018/03/13	Tue	05:46 AM	4.48		137			H
2018/03/13	Tue	12:13 PM	0.41		12			L
2018/03/13	Tue	06:16 PM	4.10		125			H
2018/03/14	Wed	12:24 AM	0.49		15			L
2018/03/14	Wed	06:36 AM	4.71		144			H
2018/03/14	Wed	12:56 PM	0.20		6			L
2018/03/14	Wed	07:01 PM	4.38		134			H
2018/03/15	Thu	01:10 AM	0.25		8			L
2018/03/15	Thu	07:19 AM	4.92		150			H
2018/03/15	Thu	01:38 PM	-0.01		-0			L
2018/03/15	Thu	07:41 PM	4.64		141			H
2018/03/16	Fri	01:54 AM	0.05		2			L
2018/03/16	Fri	07:58 AM	5.09		155			H
2018/03/16	Fri	02:19 PM	-0.18		-5			L
2018/03/16	Fri	08:18 PM	4.87		148			H
2018/03/17	Sat	02:37 AM	-0.12		-4			L
2018/03/17	Sat	08:35 AM	5.18		158			H
2018/03/17	Sat	02:57 PM	-0.30		-9			L
2018/03/17	Sat	08:53 PM	5.05		154			H
2018/03/18	Sun	03:18 AM	-0.22		-7			L
2018/03/18	Sun	09:12 AM	5.18		158			H
2018/03/18	Sun	03:35 PM	-0.36		-11			L
2018/03/18	Sun	09:28 PM	5.17		158			H
2018/03/19	Mon	03:59 AM	-0.26		-8			L
2018/03/19	Mon	09:51 AM	5.10		155			H
2018/03/19	Mon	04:11 PM	-0.34		-10			L
2018/03/19	Mon	10:06 PM	5.25		160			H
2018/03/20	Tue	04:40 AM	-0.22		-7			L
2018/03/20	Tue	10:33 AM	4.96		151			H
2018/03/20	Tue	04:48 PM	-0.26		-8			L
2018/03/20	Tue	10:49 PM	5.26		160			H
2018/03/21	Wed	05:23 AM	-0.10		-3			L
2018/03/21	Wed	11:22 AM	4.77		145			H
2018/03/21	Wed	05:28 PM	-0.10		-3			L
2018/03/21	Wed	11:38 PM	5.23		159			H
2018/03/22	Thu	06:11 AM	0.09		3			L
2018/03/22	Thu	12:16 PM	4.58		140			H
2018/03/22	Thu	06:13 PM	0.12		4			L
2018/03/23	Fri	12:33 AM	5.16		157			H
2018/03/23	Fri	07:10 AM	0.31		9			L
2018/03/23	Fri	01:15 PM	4.43		135			H
2018/03/23	Fri	07:12 PM	0.35		11			L
2018/03/24	Sat	01:33 AM	5.08		155			H
2018/03/24	Sat	08:23 AM	0.43		13			L
2018/03/24	Sat	02:17 PM	4.35		133			H
2018/03/24	Sat	08:27 PM	0.49		15			L
2018/03/25	Sun	02:37 AM	5.03		153			H
2018/03/25	Sun	09:37 AM	0.37		11			L
2018/03/25	Sun	03:22 PM	4.37		133			H
2018/03/25	Sun	09:44 PM	0.42		13			L
2018/03/26	Mon	03:44 AM	5.04		154			H
2018/03/26	Mon	10:42 AM	0.15		5			L
2018/03/26	Mon	04:30 PM	4.53		138			H
2018/03/26	Mon	10:51 PM	0.19		6			L
2018/03/27	Tue	04:53 AM	5.14		157			H
2018/03/27	Tue	11:40 AM	-0.12		-4			L
2018/03/27	Tue	05:34 PM	4.83		147			H
2018/03/27	Tue	11:51 PM	-0.10		-3			L
2018/03/28	Wed	05:57 AM	5.33		162			H
2018/03/28	Wed	12:32 PM	-0.38		-12			L
2018/03/28	Wed	06:33 PM	5.19		158			H
2018/03/29	Thu	12:46 AM	-0.36		-11			L
2018/03/29	Thu	06:53 AM	5.53		169			H
2018/03/29	Thu	01:22 PM	-0.58		-18			L
2018/03/29	Thu	07:24 PM	5.52		168			H
2018/03/30	Fri	01:39 AM	-0.55		-17			L
2018/03/30	Fri	07:43 AM	5.63		172			H
2018/03/30	Fri	02:09 PM	-0.68		-21			L
2018/03/30	Fri	08:12 PM	5.74		175			H
2018/03/31	Sat	02:29 AM	-0.65		-20			L
2018/03/31	Sat	08:29 AM	5.62		171			H
2018/03/31	Sat	02:54 PM	-0.68		-21			L
2018/03/31	Sat	08:56 PM	5.82		177			H
2018/04/01	Sun	03:16 AM	-0.64		-20			L
2018/04/01	Sun	09:14 AM	5.47		167			H
2018/04/01	Sun	03:36 PM	-0.55		-17			L
2018/04/01	Sun	09:40 PM	5.75		175			H
2018/04/02	Mon	04:00 AM	-0.52		-16			L
2018/04/02	Mon	09:58 AM	5.22		159			H
2018/04/02	Mon	04:15 PM	-0.32		-10			L
2018/04/02	Mon	10:23 PM	5.57		170			H
2018/04/03	Tue	04:43 AM	-0.30		-9			L
2018/04/03	Tue	10:44 AM	4.91		150			H
2018/04/03	Tue	04:53 PM	-0.01		-0			L
2018/04/03	Tue	11:07 PM	5.32		162			H
2018/04/04	Wed	05:24 AM	-0.01		-0			L
2018/04/04	Wed	11:31 AM	4.58		140			H
2018/04/04	Wed	05:30 PM	0.36		11			L
2018/04/04	Wed	11:52 PM	5.04		154			H
2018/04/05	Thu	06:07 AM	0.32		10			L
2018/04/05	Thu	12:19 PM	4.29		131			H
2018/04/05	Thu	06:09 PM	0.72		22			L
2018/04/06	Fri	12:38 AM	4.77		145			H
2018/04/06	Fri	06:53 AM	0.64		20			L
2018/04/06	Fri	01:09 PM	4.05		123			H
2018/04/06	Fri	06:54 PM	1.05		32			L
2018/04/07	Sat	01:26 AM	4.54		138			H
2018/04/07	Sat	07:49 AM	0.89		27			L
2018/04/07	Sat	01:59 PM	3.89		119			H
2018/04/07	Sat	07:53 PM	1.29		39			L
2018/04/08	Sun	02:16 AM	4.38		134			H
2018/04/08	Sun	08:52 AM	1.01		31			L
2018/04/08	Sun	02:52 PM	3.82		116			H
2018/04/08	Sun	09:04 PM	1.36		41			L
2018/04/09	Mon	03:09 AM	4.29		131			H
2018/04/09	Mon	09:53 AM	0.97		30			L
2018/04/09	Mon	03:47 PM	3.86		118			H
2018/04/09	Mon	10:09 PM	1.24		38			L
2018/04/10	Tue	04:05 AM	4.31		131			H
2018/04/10	Tue	10:46 AM	0.81		25			L
2018/04/10	Tue	04:43 PM	4.02		123			H
2018/04/10	Tue	11:04 PM	1.00		30			L
2018/04/11	Wed	05:02 AM	4.43		135			H
2018/04/11	Wed	11:33 AM	0.58		18			L
2018/04/11	Wed	05:36 PM	4.29		131			H
2018/04/11	Wed	11:53 PM	0.71		22			L
2018/04/12	Thu	05:55 AM	4.64		141			H
2018/04/12	Thu	12:17 PM	0.34		10			L
2018/04/12	Thu	06:24 PM	4.63		141			H
2018/04/13	Fri	12:40 AM	0.42		13			L
2018/04/13	Fri	06:42 AM	4.87		148			H
2018/04/13	Fri	01:00 PM	0.11		3			L
2018/04/13	Fri	07:06 PM	4.98		152			H
2018/04/14	Sat	01:26 AM	0.14		4			L
2018/04/14	Sat	07:25 AM	5.07		155			H
2018/04/14	Sat	01:41 PM	-0.09		-3			L
2018/04/14	Sat	07:45 PM	5.31		162			H
2018/04/15	Sun	02:11 AM	-0.10		-3			L
2018/04/15	Sun	08:06 AM	5.20		158			H
2018/04/15	Sun	02:23 PM	-0.24		-7			L
2018/04/15	Sun	08:23 PM	5.57		170			H
2018/04/16	Mon	02:56 AM	-0.28		-9			L
2018/04/16	Mon	08:47 AM	5.24		160			H
2018/04/16	Mon	03:04 PM	-0.32		-10			L
2018/04/16	Mon	09:01 PM	5.74		175			H
2018/04/17	Tue	03:41 AM	-0.38		-12			L
2018/04/17	Tue	09:30 AM	5.19		158			H
2018/04/17	Tue	03:45 PM	-0.32		-10			L
2018/04/17	Tue	09:43 PM	5.81		177			H
2018/04/18	Wed	04:26 AM	-0.38		-12			L
2018/04/18	Wed	10:17 AM	5.06		154			H
2018/04/18	Wed	04:28 PM	-0.23		-7			L
2018/04/18	Wed	10:29 PM	5.77		176			H
2018/04/19	Thu	05:12 AM	-0.28		-9			L
2018/04/19	Thu	11:10 AM	4.89		149			H
2018/04/19	Thu	05:13 PM	-0.06		-2			L
2018/04/19	Thu	11:22 PM	5.64		172			H
2018/04/20	Fri	06:03 AM	-0.09		-3			L
2018/04/20	Fri	12:08 PM	4.74		144			H
2018/04/20	Fri	06:03 PM	0.19		6			L
2018/04/21	Sat	12:21 AM	5.48		167			H
2018/04/21	Sat	07:02 AM	0.14		4			L
2018/04/21	Sat	01:09 PM	4.64		141			H
2018/04/21	Sat	07:04 PM	0.45		14			L
2018/04/22	Sun	01:23 AM	5.31		162			H
2018/04/22	Sun	08:10 AM	0.29		9			L
2018/04/22	Sun	02:10 PM	4.61		141			H
2018/04/22	Sun	08:18 PM	0.60		18			L
2018/04/23	Mon	02:26 AM	5.17		158			H
2018/04/23	Mon	09:20 AM	0.28		9			L
2018/04/23	Mon	03:12 PM	4.67		142			H
2018/04/23	Mon	09:33 PM	0.56		17			L
2018/04/24	Tue	03:30 AM	5.09		155			H
2018/04/24	Tue	10:23 AM	0.14		4			L
2018/04/24	Tue	04:15 PM	4.84		148			H
2018/04/24	Tue	10:39 PM	0.37		11			L
2018/04/25	Wed	04:34 AM	5.08		155			H
2018/04/25	Wed	11:18 AM	-0.05		-2			L
2018/04/25	Wed	05:17 PM	5.10		155			H
2018/04/25	Wed	11:37 PM	0.13		4			L
2018/04/26	Thu	05:36 AM	5.14		157			H
2018/04/26	Thu	12:08 PM	-0.21		-6			L
2018/04/26	Thu	06:13 PM	5.40		165			H
2018/04/27	Fri	12:31 AM	-0.08		-2			L
2018/04/27	Fri	06:32 AM	5.23		159			H
2018/04/27	Fri	12:56 PM	-0.32		-10			L
2018/04/27	Fri	07:03 PM	5.67		173			H
2018/04/28	Sat	01:21 AM	-0.24		-7			L
2018/04/28	Sat	07:21 AM	5.28		161			H
2018/04/28	Sat	01:41 PM	-0.34		-10			L
2018/04/28	Sat	07:49 PM	5.84		178			H
2018/04/29	Sun	02:09 AM	-0.33		-10			L
2018/04/29	Sun	08:07 AM	5.25		160			H
2018/04/29	Sun	02:24 PM	-0.28		-9			L
2018/04/29	Sun	08:31 PM	5.89		180			H
2018/04/30	Mon	02:55 AM	-0.34		-10			L
2018/04/30	Mon	08:50 AM	5.13		156			H
2018/04/30	Mon	03:05 PM	-0.14		-4			L
2018/04/30	Mon	09:12 PM	5.81		177			H
2018/05/01	Tue	03:38 AM	-0.27		-8			L
2018/05/01	Tue	09:33 AM	4.95		151			H
2018/05/01	Tue	03:44 PM	0.06		2			L
2018/05/01	Tue	09:52 PM	5.63		172			H
2018/05/02	Wed	04:19 AM	-0.13		-4			L
2018/05/02	Wed	10:17 AM	4.71		144			H
2018/05/02	Wed	04:22 PM	0.32		10			L
2018/05/02	Wed	10:33 PM	5.39		164			H
2018/05/03	Thu	04:59 AM	0.08		2			L
2018/05/03	Thu	11:02 AM	4.46		136			H
2018/05/03	Thu	04:59 PM	0.60		18			L
2018/05/03	Thu	11:16 PM	5.12		156			H
2018/05/04	Fri	05:38 AM	0.33		10			L
2018/05/04	Fri	11:50 AM	4.25		130			H
2018/05/04	Fri	05:36 PM	0.89		27			L
2018/05/05	Sat	12:00 AM	4.86		148			H
2018/05/05	Sat	06:20 AM	0.59		18			L
2018/05/05	Sat	12:39 PM	4.08		124			H
2018/05/05	Sat	06:16 PM	1.15		35			L
2018/05/06	Sun	12:47 AM	4.64		141			H
2018/05/06	Sun	07:07 AM	0.82		25			L
2018/05/06	Sun	01:27 PM	3.98		121			H
2018/05/06	Sun	07:07 PM	1.37		42			L
2018/05/07	Mon	01:35 AM	4.49		137			H
2018/05/07	Mon	08:03 AM	0.96		29			L
2018/05/07	Mon	02:16 PM	3.97		121			H
2018/05/07	Mon	08:15 PM	1.47		45			L
2018/05/08	Tue	02:25 AM	4.39		134			H
2018/05/08	Tue	09:04 AM	0.97		30			L
2018/05/08	Tue	03:06 PM	4.04		123			H
2018/05/08	Tue	09:26 PM	1.40		43			L
2018/05/09	Wed	03:17 AM	4.37		133			H
2018/05/09	Wed	09:59 AM	0.84		26			L
2018/05/09	Wed	03:57 PM	4.21		128			H
2018/05/09	Wed	10:26 PM	1.17		36			L
2018/05/10	Thu	04:12 AM	4.42		135			H
2018/05/10	Thu	10:49 AM	0.63		19			L
2018/05/10	Thu	04:50 PM	4.49		137			H
2018/05/10	Thu	11:19 PM	0.87		27			L
2018/05/11	Fri	05:07 AM	4.55		139			H
2018/05/11	Fri	11:34 AM	0.39		12			L
2018/05/11	Fri	05:40 PM	4.85		148			H
2018/05/12	Sat	12:08 AM	0.53		16			L
2018/05/12	Sat	06:00 AM	4.74		144			H
2018/05/12	Sat	12:19 PM	0.15		5			L
2018/05/12	Sat	06:27 PM	5.25		160			H
2018/05/13	Sun	12:57 AM	0.20		6			L
2018/05/13	Sun	06:50 AM	4.94		151			H
